A.geneID	CLL_1	GCBC_129	GCBC_134	GCBC_135	GCBC_136	GCBC_137	GCBC_138	CLL_25	CLL_26	CLL_27	CLL_28	CLL_29	CLL_30	CLL_4	CLL_5	CLL_6	CLL_92	CLL_93	CLL_94	CLL_95	CLL_96	CLL_97
ENSG00000046647	6.26628	6.28416	6.79098	8.40917	8.41933	7.76978	9.10206	6.46202	5.10003	8.24805	6.60287	3.81922	7.60483	6.50884	10.3937	6.21227	6.67971	6.40485	6.7949	6.45736	4.47903	6.91053
ENSG00000046651	26.055	18.2259	21.1767	23.3408	30	22.3798	25.9304	26.0711	27.2456	45.2034	33.6893	19.6673	31.2243	17.1511	22.3437	26.8483	20.8249	24.7498	32.3416	26.3754	10.9221	40.3451
ENSG00000046653	0	0.00101889	0.00235304	0.0134818	0.0100471	0.00445028	0.0132887	0.0150441	0.296636	0.0244475	0.0181588	0.0494535	0.0807988	0	0.0104561	0.00193702	0	0	0	0.00574277	0	0.0157781
ENSG00000046774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000046889	0	0.00108985	0.00110744	0.00635217	0	0.00222818	0.00964223	0	0.00756717	0.00281982	0	0.00643427	0.000308779	0	0.00098422	0	0	0.00197952	0	0	0	0
ENSG00000047056	11.4324	9.98846	9.94075	11.1219	9.94347	11.6035	11.3144	12.3638	12.0785	10.3075	12.5358	7.87505	9.5797	11.0299	9.37879	14.6588	6.85053	10.93	8.80741	10.6787	6.05988	11.7833
ENSG00000047188	13.9365	11.3547	11.4439	11.4492	13.6787	12.7315	14.2148	11.7891	13.3785	15.6395	14.6666	12.7258	15.4279	13.1866	14.6223	18.7095	7.28744	9.49025	11.2553	10.8279	8.82356	11.1459
ENSG00000047230	16.3435	18.6696	17.3358	14.8373	22.4927	18.6923	17.4425	8.7405	10.9713	8.29342	11.4453	19.4591	11.8079	9.67011	14.2584	7.05222	8.73128	12.4544	11.466	12.3327	9.03087	9.96625
ENSG00000047249	5.45527	8.20411	6.97533	6.94542	6.60084	7.07356	6.7789	6.15356	6.21888	8.35844	5.3996	7.24308	8.42627	6.27821	8.01969	5.69367	9.11344	7.50371	10.3804	6.10071	7.89103	6.11814
ENSG00000047315	33.6439	50.598	43.2381	41.0679	47.6052	45.5312	45.9522	31.3539	30.6908	28.4149	27.9089	23.2936	32.3971	31.421	28.0187	24.8157	25.2579	23.0124	19.4424	21.9468	20.195	19.3941
ENSG00000047346	16.4878	24.6256	26.9394	24.9412	32.1799	29.6405	28.085	34.7268	35.0427	29.8396	24.913	13.9302	22.587	27.774	36.4961	34.8897	16.1815	18.2523	26.3867	29.8681	24.8726	19.4565
ENSG00000047365	3.64564	1.27281	1.59661	1.46581	1.79685	1.91621	1.51934	10.329	7.24421	5.2347	8.47156	11.6355	3.64021	6.84499	6.32596	4.94473	4.03627	4.90375	10.0867	8.34469	3.81584	6.1019
ENSG00000047410	38.482	36.4719	35.2896	31.9941	33.9698	33.3925	33.8581	30.4126	35.5314	30.9141	39.9891	24.107	31.0823	39.6364	35.602	40.0571	24.2384	25.5564	29.0909	25.8784	20.5738	28.4283
ENSG00000047457	0	0.00540354	0.00727221	0	0.0148533	0.0108142	0.0123443	0	0.0100049	0.00175639	0.0161401	0	0.0277729	0	0.00149648	0	0	0	0	0	0	0
ENSG00000047578	5.13478	3.35985	3.45922	3.54356	3.77991	3.71094	3.81954	4.28231	4.83233	3.72434	4.09894	4.2459	2.64633	8.17795	5.89606	6.28975	4.49659	3.89646	2.5934	6.43174	4.10275	6.00345
ENSG00000047579	18.099	18.987	20.1859	24.246	20.3335	22.1383	17.1168	11.6613	17.5309	21.1553	12.1865	11.7086	13.8897	13.7332	14.0175	16.0274	34.0877	24.9482	52.4083	20.4255	20.4538	27.8922
ENSG00000047597	0.00189766	0.0602798	0.0666907	0.0303082	0.180658	0.0928953	0.142008	0.00407269	0.0105161	0.100309	0.00292244	0.00596115	0.708308	0.0607659	0.367156	0	0.382594	0.0137241	0.0232384	0	0	0.00302808
ENSG00000047617	0	0	0	0	0	0	0	0	0	0.0013658	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000047621	4.82181	5.55996	5.66241	6.20425	6.58512	6.15886	6.44018	3.22814	3.79392	6.33528	4.33085	5.03136	6.85265	2.99409	4.00489	4.13699	12.2921	4.86346	6.7355	3.67407	2.86516	2.88603
ENSG00000047634	0	1.58607	0.941913	1.92707	2.19167	2.53618	1.91172	0	0.0144522	0.172581	0	0	0.0723695	4.14519e-05	0.0783121	0.000133316	0.00455966	0	0	0.00296436	0	0.000994164
ENSG00000047644	19.6578	16.2281	17.9798	15.3183	12.9321	17.5428	15.1572	31.2896	19.2257	16.8815	23.0235	34.8074	14.3227	17.3081	19.7396	24.7906	18.1228	26.4081	16.195	10.5137	9.9611	22.9644
ENSG00000047648	4.06563	0.0174663	0.0276837	0.0194279	0.0282413	0.0137659	0.0231302	0.934072	0.976365	0.0389756	0.738952	1.22649	1.72311	0.00865979	1.18753	0.74718	0.0270194	1.25049	1.87755	0.609136	1.22188	2.51449
ENSG00000047662	0.0104431	0.0109148	0.0181489	0.00951037	0.0205441	0.00989979	0.0081973	0.04474	0.00450116	0.00457557	0.0444188	0.00381166	0.0233552	0.00568908	0.00751515	0.0313189	0.00378502	0.007209	0	0.00958054	0.00479954	0.00595145
